a_len,avg_ctx_len_tokens,best_context_len,best_context_share,content_precision_token,content_term_support_rate,content_unsupported_mass,date_cov,entity_match.by_type.DATE,entity_match.by_type.MONEY,entity_match.by_type.NUMBER,entity_match.by_type.QUANTITY,entity_match.overall,entity_match.unsupported__len,hallucination_risk_score,head_noun_support_rate,inference_likely_bool,inference_score,mean_sentence_precision,min_sentence_precision,money_cov,num_contexts,number_cov,numeric_match,p90_sentence_precision,per_sentence__len,per_sentence__max,per_sentence__mean,per_sentence__min,percent_cov,precision_token,q_len,qa_len_ratio,qr_alignment.answer_covers_question,qr_alignment.cosine_tfidf,quantity_cov,recall_context,supported_entities.by_type.DATE,supported_entities.by_type.MONEY,supported_entities.by_type.NUMBER,supported_entities.by_type.QUANTITY,supported_entities.count,supported_entities.items__len,supported_terms__len,supported_terms_per_sentence__len,supported_topk_impact,unsupported_entity_count,unsupported_entity_mass,unsupported_mass,unsupported_numbers__len,unsupported_numeric_count,unsupported_numeric_rate,unsupported_term_count,unsupported_term_rate,unsupported_terms__len,unsupported_terms_per_sentence__len,unsupported_to_supported_ratio,unsupported_topk_count,unsupported_topk_impact,unsupported_topk_terms__len,y,q,a
2.000000,18.500000,12.000000,0.117000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,4.000000,0.500000,0.000000,0.000000,0.000000,0.117000,0.000000,1.000000,1.000000,0.000000,2.000000,2.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"What was the total revenue for Q1 2023?","$4.8 billion."
0.000000,15.000000,9.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"What is the maximum loan amount available?","$250,000."
5.000000,15.000000,13.000000,0.080900,0.633500,0.714300,0.366500,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.483900,1.000000,0.000000,0.000000,0.516100,0.516100,0.000000,2.000000,0.000000,1.000000,0.516100,1.000000,0.516100,0.516100,0.516100,0.000000,0.516100,6.000000,0.833300,0.567100,0.620000,0.000000,0.156800,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,2.223100,0.000000,0.000000,0.483900,0.000000,0.000000,0.000000,2.000000,0.400000,2.000000,1.000000,1.359200,2.000000,3.021600,2.000000,1,"When does the next fiscal year start?","The next fiscal year starts on April 1, 2024."
3.000000,18.500000,13.000000,0.153500,0.808500,0.800000,0.191500,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,0.500000,0.424900,0.586600,0.000000,0.153500,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"What is the target operating margin for next year?","Target operating margin is 20%."
5.000000,18.000000,12.000000,0.091900,0.596700,0.714300,0.403300,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.510900,0.666700,0.000000,0.000000,0.489100,0.489100,0.000000,2.000000,0.000000,1.000000,0.489100,1.000000,0.489100,0.489100,0.489100,0.000000,0.489100,5.000000,1.000000,0.344700,0.269200,0.000000,0.187900,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,1.000000,2.446200,0.000000,0.000000,0.510900,0.000000,0.000000,0.000000,2.000000,0.400000,2.000000,1.000000,1.566800,2.000000,3.832600,2.000000,1,"What is the effective date of the new policy?","The new policy takes effect on June 15, 2024."
4.000000,17.000000,11.000000,0.283700,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,0.571400,0.348300,0.447300,1.000000,0.283700,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1,"What is the average response time for customer support tickets?","Average response time is 48 hours."
5.000000,14.500000,11.000000,0.229200,0.862000,0.833300,0.138000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.259500,1.000000,0.000000,0.000000,0.740500,0.740500,0.000000,2.000000,1.000000,1.000000,0.740500,1.000000,0.740500,0.740500,0.740500,0.000000,0.740500,4.000000,1.250000,0.000000,0.000000,0.000000,0.309500,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,4.000000,1.000000,1.510800,0.000000,0.000000,0.259500,0.000000,0.000000,0.000000,1.000000,0.200000,1.000000,1.000000,1.268400,1.000000,1.916300,1.000000,1,"What are the criteria for eligibility for the scholarship?","Must be a full-time student with a GPA of 3.5 or higher."
3.000000,17.000000,9.000000,0.050600,0.695200,0.750000,0.304800,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.381800,0.000000,0.000000,0.000000,0.618200,0.618200,0.000000,2.000000,1.000000,1.000000,0.618200,1.000000,0.618200,0.618200,0.618200,0.000000,0.618200,5.000000,0.600000,0.535900,0.685400,0.000000,0.081900,0.000000,0.000000,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,1.223100,0.000000,0.000000,0.381800,0.000000,0.000000,0.000000,1.000000,0.333300,1.000000,1.000000,1.235200,1.000000,1.510800,1.000000,1,"What was the total number of employees as of Q2 2023?","The total number of employees was 1,200."
5.000000,15.500000,11.000000,0.204200,0.815300,0.857100,0.184700,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.235900,1.000000,0.000000,0.000000,0.764100,0.764100,0.000000,2.000000,1.000000,1.000000,0.764100,1.000000,0.764100,0.764100,0.764100,0.000000,0.764100,5.000000,1.000000,0.535900,0.547500,0.000000,0.267300,0.000000,0.000000,2.000000,0.000000,2.000000,2.000000,4.000000,1.000000,1.223100,0.000000,0.000000,0.235900,0.000000,0.000000,0.000000,1.000000,0.200000,1.000000,1.000000,1.235200,1.000000,1.510800,1.000000,1,"What is the expected delivery time for orders?","Expected delivery time is 5 to 7 business days."
3.000000,16.500000,11.000000,0.095700,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.412100,1.000000,0.000000,0.000000,0.587900,0.587900,1.000000,2.000000,1.000000,1.000000,0.587900,1.000000,0.587900,0.587900,0.587900,0.000000,0.587900,5.000000,0.600000,0.172400,0.169600,0.000000,0.162700,0.000000,1.000000,1.000000,0.000000,2.000000,2.000000,2.000000,1.000000,1.510800,0.000000,0.000000,0.412100,0.000000,0.000000,0.000000,1.000000,0.333300,1.000000,1.000000,1.268400,1.000000,1.916300,1.000000,1,"What is the penalty for late submission of reports?","A penalty of $100 per day."
3.000000,15.500000,9.000000,0.079600,0.725800,0.800000,0.274200,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.430300,1.000000,0.000000,0.000000,0.569700,0.569700,0.000000,2.000000,1.000000,1.000000,0.569700,1.000000,0.569700,0.569700,0.569700,0.000000,0.569700,6.000000,0.500000,0.430200,0.604100,0.000000,0.139700,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.430300,0.000000,0.000000,0.000000,1.000000,0.333300,1.000000,1.000000,1.510800,1.000000,1.510800,1.000000,1,"What was the total profit margin for last year?","The total profit margin was 30%."
